#k	cm_distr
0.0	993.116347892
0.00394654	992.221014546
0.00789308	989.543181173
0.0118396	985.094181108
0.0157862	978.900014351
0.0197327	970.993680901
0.0236792	961.416347428
0.0276258	950.22001393
0.0315723	937.46268041
0.0355189	923.210513534
0.0394654	907.539513304
0.0434119	890.526846388
0.0473585	872.260512787
0.051305	852.830012502
0.0552516	832.330512202
0.0591981	810.862678554
0.0631446	788.525844893
0.0670912	765.422677888
0.0710377	741.659510873
0.0749843	717.339510516
0.0789308	692.566843486
0.0828773	667.446843118
0.0868239	642.079509413
0.0907704	616.563675705
0.094717	590.996341997
0.0986635	565.46950829
0.10261	540.070007917
0.106557	514.883174215
0.110503	489.986840517
0.11445	465.456340157
0.118396	441.356339804
0.122343	417.750006124
0.126289	394.69583912
0.130236	372.240505457
0.134182	350.432671804
0.138129	329.307171494
0.142075	308.898837862
0.146022	289.23300424
0.149969	270.331837296
0.153915	252.210170364
0.157862	234.88017011
0.161808	218.347169868
0.165755	202.612169637
0.169701	187.673002751
0.173648	173.522002544
0.177594	160.149169014
0.181541	147.541002163
0.185487	135.680168656
0.189434	124.548835159
0.19338	114.12416834
0.197327	104.384168197
0.201274	95.3036847305
0.20522	86.85631794
0.209167	79.0150011584
0.213113	71.7523177186
0.21706	65.0397342868
0.221006	58.8490508627
0.224953	53.1517341125
0.228899	47.9196340358
0.232846	43.1246339655
0.236792	38.7396339013
0.240739	34.7377338426
0.244685	31.0933004558
0.248632	27.7810837406
0.252579	24.7769170299
0.256525	22.0579003234
0.260472	19.6019002874
0.264418	17.3879835882
0.268365	15.3963168924
0.272311	13.6082835328
0.276258	12.006200176
0.280204	10.5736834883
0.284151	9.29530013627
0.288097	8.15676845291
0.292044	7.14480510474
0.29599	6.24712675825
0.299937	5.45239507993
0.303884	4.75019506964
0.30783	4.13096839389
0.311777	3.58600505257
0.315723	3.10733004555
0.31967	2.68769837273
0.323616	2.32055003402
0.327563	1.99995002932
0.331509	1.72053835856
0.335456	1.47749835499
0.339402	1.26650168523
0.343349	1.08368834922
0.347296	0.925590013569
0.351242	0.789133178235
0.355189	0.671582676512
0.359135	0.57051317503
0.363082	0.483782673759
0.367028	0.409496839337
0.370975	0.345993671739
0.374921	0.291813004278
0.378868	0.245673003602
0.382814	0.206456003027
0.386761	0.173187002539
0.390707	0.145017168793
0.394654	0.121211001777
0.398601	0.101130168149
0.402547	0.0842246345681
0.406494	0.0700185843598
0.41044	0.0581037341851
0.414387	0.0481296840389
0.418333	0.0397960005834
0.42228	0.0328460004815
0.426226	0.02706098373
0.430173	0.0222546836596
0.434119	0.0182690836012
0.438066	0.0149702168861
0.442012	0.0122450001795
0.445959	0.00999783681323
0.449906	0.00814836845279
0.453852	0.00662906843051
0.457799	0.00538333674559
0.461745	0.00436383173064
0.465692	0.00353103171843
0.469638	0.00285202004181
0.473585	0.00229943170038
0.477531	0.00185057836046
0.481478	0.00148665168846
0.485424	0.00119214835081
0.489371	0.000954262680656
0.493318	0.000762470011178
0.497264	0.000608127342248
0.501211	0.000484154173764
0.505157	0.000384760505641
0.509104	0.000305221171141
0.51305	0.000241688836876
0.516997	0.000191036002801
0.520943	0.00015072700221
0.52489	0.00011870900174
0.528836	9.33243180348e-05
0.532783	7.3235734407e-05
0.536729	5.7367950841e-05
0.540676	4.48570006576e-05
0.544623	3.50116338466e-05
0.548569	2.72777837332e-05
0.552516	2.12140169777e-05
0.556462	1.64685169081e-05
0.560409	1.27615835204e-05
0.564355	9.87120514471e-06
0.568302	7.6217367784e-06
0.572248	5.87429508612e-06
0.576195	4.51933173292e-06
0.580141	3.47063671755e-06
0.584088	2.66049837234e-06
0.588034	2.03579002984e-06
0.591981	1.55500835613e-06
