#k	cm_distr
0.0	12043690.0
0.00394654	12036340.0
0.00789308	12014350.0
0.0118396	11977810.0
0.0157862	11926890.0
0.0197327	11861870.0
0.0236792	11783030.0
0.0276258	11690780.0
0.0315723	11585580.0
0.0355189	11467950.0
0.0394654	11338460.0
0.0434119	11197740.0
0.0473585	11046440.0
0.051305	10885220.0
0.0552516	10714750.0
0.0591981	10535700.0
0.0631446	10348700.0
0.0670912	10154410.0
0.0710377	9953390.0
0.0749843	9746230.0
0.0789308	9533470.0
0.0828773	9315660.0
0.0868239	9093280.0
0.0907704	8866840.0
0.094717	8636850.0
0.0986635	8403790.0
0.10261	8168160.0
0.106557	7930452.0
0.110503	7691181.0
0.11445	7450786.0
0.118396	7209794.0
0.122343	6968649.0
0.126289	6727785.0
0.130236	6487662.0
0.134182	6248690.0
0.138129	6011264.0
0.142075	5775754.0
0.146022	5542537.0
0.149969	5311939.0
0.153915	5084319.0
0.157862	4859970.0
0.161808	4639190.0
0.165755	4422289.0
0.169701	4209533.0
0.173648	4001154.0
0.177594	3797409.0
0.181541	3598520.0
0.185487	3404674.0
0.189434	3216062.0
0.19338	3032832.0
0.197327	2855133.0
0.201274	2683089.0
0.20522	2516795.0
0.209167	2356338.0
0.213113	2201786.0
0.21706	2053188.0
0.221006	1910580.0
0.224953	1773981.0
0.228899	1643391.0
0.232846	1518801.0
0.236792	1400183.0
0.240739	1287495.0
0.244685	1180688.0
0.248632	1079691.0
0.252579	984426.0
0.256525	894805.0
0.260472	810723.9
0.264418	732070.7
0.268365	658724.4
0.272311	590549.8
0.276258	527403.6
0.280204	469130.4
0.284151	415565.1
0.288097	366530.9
0.292044	321839.8
0.29599	281292.6
0.299937	244683.4
0.303884	211794.6
0.30783	182402.1
0.311777	156276.2
0.315723	133183.7
0.31967	112889.39
0.323616	95159.77
0.327563	79764.47
0.331509	66478.37
0.335456	55084.68
0.339402	45376.16
0.343349	37157.07
0.347296	30244.38
0.351242	24468.94
0.355189	19675.77
0.359135	15724.43
0.363082	12489.088
0.367028	9857.903
0.370975	7732.593
0.374921	6027.59
0.378868	4669.08
0.382814	3594.038
0.386761	2749.127
0.390707	2089.583
0.394654	1578.2698
0.398601	1184.5549
0.402547	883.45
0.406494	654.7309
0.41044	482.169
0.414387	352.8548
0.418333	256.5977
0.42228	185.42786
0.426226	133.15785
0.430173	95.0239
0.434119	67.38739
0.438066	47.49058
0.442012	33.2604
0.445959	23.149637
0.449906	16.012623
0.453852	11.007508
0.457799	7.520213
0.461745	5.106148
0.465692	3.4457505
0.469638	2.311046
0.473585	1.5405464
0.477531	1.0206796
0.481478	0.6721382
0.485424	0.4399368
0.489371	0.2862137
0.493318	0.18508229
0.497264	0.11896542
0.501211	0.07600911
0.505157	0.04827311
0.509104	0.030475237
0.51305	0.019124865
0.516997	0.011930576
0.520943	0.007398678
0.52489	0.0045610019
0.528836	0.0027951608
0.532783	0.0017028968
0.536729	0.001031388
0.540676	0.0006210244
0.544623	0.00037175047
0.548569	0.00022124092
0.552516	0.00013090374
0.556462	7.700177e-05
0.560409	4.503416e-05
0.564355	2.6187197e-05
0.568302	1.5140383e-05
0.572248	8.703553e-06
0.576195	4.9730817e-06
0.580141	2.8256511e-06
0.584088	1.5963258e-06
0.588034	8.96539e-07
0.591981	5.007154e-07
