# mass number (A) = 27
# number of protons (Z) = 13
# k (1/fm)	relative two_body (fm^3)
0.0	3.8022785232
0.02	3.80211807265
0.04	3.80160731118
0.06	3.80065886142
0.08	3.79912990658
0.1	3.79682631105
0.12	3.79350819832
0.14	3.78889680394
0.16	3.78268238223
0.18	3.7745329141
0.2	3.76410334231
0.22	3.75104504955
0.24	3.73501529394
0.26	3.71568632677
0.28	3.69275393632
0.3	3.66594518955
0.32	3.63502517848
0.34	3.59980261838
0.36	3.56013418899
0.38	3.51592755586
0.4	3.46714305446
0.42	3.41379406346
0.44	3.35594613386
0.46	3.29371497578
0.48	3.22726343415
0.5	3.15679760671
0.52	3.0825622734
0.54	3.00483581374
0.56	2.9239247901
0.58	2.84015836869
0.6	2.75388273912
0.62	2.66545567662
0.64	2.57524137155
0.66	2.48360562779
0.68	2.39091150798
0.7	2.29751547932
0.72	2.20376409003
0.74	2.10999118517
0.76	2.01651565096
0.78	1.92363966037
0.8	1.83164738022
0.82	1.74080408991
0.84	1.65135565643
0.86	1.56352830748
0.88	1.47752864478
0.9	1.39354384282
0.92	1.31174198303
0.94	1.2322724803
0.96	1.15526656599
0.98	1.08083779997
1.0	1.00908259208
1.02	0.940080721021
1.04	0.873895845755
1.06	0.810576009912
1.08	0.750154144614
1.1	0.692648578145
1.12	0.638063562933
1.14	0.586389830974
1.16	0.537605188349
1.18	0.491675158101
1.2	0.448553678547
1.22	0.408183861399
1.24	0.370498810997
1.26	0.335422502839
1.28	0.302870716511
1.3	0.272752015296
1.32	0.244968762327
1.34	0.219418161184
1.36	0.195993307486
1.38	0.17458423717
1.4	0.155078956972
1.42	0.137364442938
1.44	0.121327593605
1.46	0.106856125786
1.48	0.0938394024682
1.5	0.0821691841992
1.52	0.0717402973677
1.54	0.0624512148805
1.56	0.0542045468216
1.58	0.0469074406977
1.6	0.0404718927343
1.62	0.0348149733618
1.64	0.0298589714734
1.66	0.0255314632295
1.68	0.0217653121089
1.7	0.0184986075712
1.72	0.015674550107
1.74	0.0132412906223
1.76	0.011151732065
1.78	0.00936330097789
1.8	0.00783769627666
1.82	0.00654062205352
1.84	0.00544151060383
1.86	0.00451324121659
1.88	0.00373185957182
1.9	0.00307630188053
1.92	0.00252812720502
1.94	0.00207126072615
1.96	0.00169175009412
1.98	0.00137753642008
2.0	0.00111824094535
2.02	0.000904967966171
2.04	0.000730124197419
2.06	0.000587254426931
2.08	0.000470893041279
2.1	0.00037643078971
2.12	0.000299995991107
2.14	0.000238349273574
2.16	0.000188790861933
2.18	0.000149079389205
2.2	0.000117361198231
2.22	9.21091135628e-05
2.24	7.20696966112e-05
2.26	5.62180440885e-05
2.28	4.37192471189e-05
2.3	3.38956924261e-05
2.32	2.61994548226e-05
2.34	2.01890993875e-05
2.36	1.55102802611e-05
2.38	1.18795894074e-05
2.4	9.07117186319e-06
2.42	6.9056831299e-06
2.44	5.24121895706e-06
2.46	3.96589755925e-06
2.48	2.99181922095e-06
2.5	2.25016834822e-06
2.52	1.68725850837e-06
2.54	1.26135211968e-06
2.56	9.40113530955e-07
2.58	6.98577609787e-07
2.6	5.17535999347e-07
2.62	3.82260265038e-07
2.64	2.81495581043e-07
2.66	2.06670732486e-07
2.68	1.5128033677e-07
2.7	1.1040359698e-07
2.72	8.03308428768e-08
2.74	5.82748148736e-08
2.76	4.21483006979e-08
2.78	3.03935149916e-08
2.8	2.1851667091e-08
2.82	1.56636184969e-08
2.84	1.11944966908e-08
2.86	7.97669656707e-09
2.88	5.66694055195e-09
2.9	4.01404631438e-09
2.92	2.8348186506e-09
