# mass number (A) = 40
# number of protons (Z) = 18
# k (1/fm)	relative two_body (fm^3)
0.0	3.72027129984
0.02	3.72129503096
0.04	3.72430344736
0.06	3.72911017294
0.08	3.73541102672
0.1	3.74279344917
0.12	3.75074922413
0.14	3.75869004553
0.16	3.76596538119
0.18	3.77188201238
0.2	3.77572457867
0.22	3.77677643541
0.24	3.77434013593
0.26	3.76775688175
0.28	3.75642433961
0.3	3.73981230123
0.32	3.717475756
0.34	3.68906505505
0.36	3.65433296083
0.38	3.61313849566
0.4	3.56544762012
0.42	3.51133088264
0.44	3.45095828141
0.46	3.38459166513
0.48	3.31257506666
0.5	3.2353234126
0.52	3.15331008026
0.54	3.06705378188
0.56	2.97710524529
0.58	2.88403413151
0.6	2.78841658684
0.62	2.69082377053
0.64	2.59181163493
0.66	2.49191216409
0.68	2.39162620453
0.7	2.29141795006
0.72	2.19171107523
0.74	2.09288645087
0.76	1.9952813229
0.78	1.89918979337
0.8	1.80486441112
0.82	1.71251865976
0.84	1.62233012122
0.86	1.53444409463
0.88	1.4489774606
0.9	1.3660225991
0.92	1.28565119351
0.94	1.20791778173
0.96	1.13286294665
0.98	1.06051607012
1.0	0.99089760564
1.02	0.924020854703
1.04	0.859893257302
1.06	0.798517229544
1.08	0.73989059885
1.1	0.684006700073
1.12	0.630854204035
1.14	0.580416753509
1.16	0.532672481199
1.18	0.487593480159
1.2	0.445145290122
1.22	0.405286454048
1.24	0.367968188572
1.26	0.333134200664
1.28	0.30072067128
1.3	0.270656415741
1.32	0.242863220417
1.34	0.217256346387
1.36	0.193745183393
1.38	0.17223403164
1.4	0.152622985027
1.42	0.134808886969
1.44	0.118686329191
1.46	0.104148664404
1.48	0.0910890055081
1.5	0.0794011865895
1.52	0.0689806643623
1.54	0.0597253424623
1.56	0.0515363050542
1.58	0.044318450264
1.6	0.0379810178679
1.62	0.0324380093136
1.64	0.0276085014041
1.66	0.023416857771
1.68	0.0197928445646
1.7	0.0166716585696
1.72	0.0139938772319
1.74	0.0117053408845
1.76	0.00975697782568
1.78	0.00810458289181
1.8	0.00670855983226
1.82	0.00553363720699
1.84	0.00454856674077
1.86	0.00372581214769
1.88	0.00304123543557
1.9	0.00247378666122
1.92	0.00200520207363
1.94	0.00161971458624
1.96	0.00130377958675
1.98	0.00104581824206
2.0	0.000835979698031
2.02	0.000665922916179
2.04	0.000528618333325
2.06	0.000418169072603
2.08	0.000329651071174
2.1	0.000258971212753
2.12	0.000202742353424
2.14	0.000158173997228
2.16	0.000122977303761
2.18	9.5283083608e-05
2.2	7.35714497326e-05
2.22	5.66118351492e-05
2.24	4.34121518577e-05
2.26	3.31759462291e-05
2.28	2.52664962019e-05
2.3	1.91768909608e-05
2.32	1.45052304488e-05
2.34	1.09341770888e-05
2.36	8.21418326065e-06
