# mass number (A) = 9
# number of protons (Z) = 4
# k (1/fm)	relative two_body (fm^3)
0.0	4.51447703892
0.02	4.5126227714
0.04	4.50705684906
0.06	4.49777006537
0.08	4.48474758214
0.1	4.4679696762
0.12	4.44741276096
0.14	4.42305065916
0.16	4.39485609783
0.18	4.36280239131
0.2	4.32686527362
0.22	4.28702483846
0.24	4.24326754223
0.26	4.19558822415
0.28	4.14399209719
0.3	4.08849666376
0.32	4.02913351209
0.34	3.96594995136
0.36	3.89901044735
0.38	3.82839782448
0.4	3.75421420493
0.42	3.67658166145
0.44	3.59564256578
0.46	3.51155962156
0.48	3.42451557652
0.5	3.33471261546
0.52	3.24237144178
0.54	3.14773006139
0.56	3.05104228843
0.58	2.9525759975
0.6	2.85261115153
0.62	2.75143763837
0.64	2.64935295205
0.66	2.54665975728
0.68	2.44366337682
0.7	2.34066924217
0.72	2.23798034772
0.74	2.13589474754
0.76	2.034703132
0.78	1.9346865193
0.8	1.8361140936
0.82	1.73924121814
0.84	1.64430764749
0.86	1.55153595916
0.88	1.46113021991
0.9	1.37327489778
0.92	1.2881340262
0.94	1.20585062203
0.96	1.12654635502
0.98	1.05032146238
1.0	0.977254898193
1.02	0.907404704178
1.04	0.84080858564
1.06	0.77748467376
1.08	0.717432453714
1.1	0.66063383661
1.12	0.607054352368
1.14	0.556644440228
1.16	0.509340813605
1.18	0.465067876481
1.2	0.423739169317
1.22	0.38525882366
1.24	0.349523006057
1.26	0.31642133355
1.28	0.285838244905
1.3	0.25765431369
1.32	0.231747491378
1.34	0.207994270747
1.36	0.186270761896
1.38	0.16645367523
1.4	0.148421207674
1.42	0.13205383019
1.44	0.117234976331
1.46	0.103851633044
1.48	0.0917948363051
1.5	0.0809600752549
1.52	0.071247609513
1.54	0.0625627050914
1.56	0.0548157949425
1.58	0.0479225705969
1.6	0.0418040116194
1.62	0.0363863597356
1.64	0.0316010444755
1.66	0.0273845670595
1.68	0.023678349036
1.7	0.0204285518762
1.72	0.0175858733692
1.74	0.0151053262416
1.76	0.0129460039747
1.78	0.0110708383152
1.8	0.00944635249387
1.82	0.00804241367556
1.84	0.00683198769152
1.86	0.00579089864196
1.88	0.00489759552149
1.9	0.00413292760951
1.92	0.00347992999006
1.94	0.00292362022128
1.96	0.00245080686484
1.98	0.00204991031239
2.0	0.00171079610683
2.02	0.0014246207514
2.04	0.00118368982732
2.06	0.000981328098548
2.08	0.000811761168171
2.1	0.00067000816293
2.12	0.00055178485668
2.14	0.00045341659883
2.16	0.000371760386378
2.18	0.000304135406153
2.2	0.000248261374499
2.22	0.000202204012952
2.24	0.000164327018148
2.26	0.000133249910564
2.28	0.000107811178039
2.3	8.70361647581e-05
2.32	7.01091934891e-05
2.34	5.63494469911e-05
2.36	4.51901729943e-05
2.38	3.61608151043e-05
2.4	2.88717088976e-05
2.42	2.30010178782e-05
2.44	1.82836175218e-05
2.46	1.45016671173e-05
2.48	1.14766383861e-05
2.5	9.06259682946e-06
2.52	7.14055643426e-06
2.54	5.61375077013e-06
2.56	4.4036837255e-06
2.58	3.44684124988e-06
2.6	2.69196161651e-06
2.62	2.0977760281e-06
2.64	1.63114400045e-06
2.66	1.26551901698e-06
2.68	9.79689596804e-07
2.7	7.5674929839e-07
2.72	5.83256424333e-07
2.74	4.48550426069e-07
2.76	3.44197348564e-07
2.78	2.63541212218e-07
2.8	2.01342101767e-07
2.82	1.5348500939e-07
2.84	1.16746242247e-07
2.86	8.86065249847e-08
2.88	6.71018690318e-08
2.9	5.07048986351e-08
2.92	3.82306674993e-08
2.94	2.87621120344e-08
2.96	2.15912043658e-08
2.98	1.61726219593e-08
3.0	1.20873679944e-08
3.02	9.01428046003e-09
3.04	6.70777783428e-09
3.06	4.98052156882e-09
3.08	3.68994421051e-09
3.1	2.72780839843e-09
3.12	2.01213575732e-09
3.14	1.48098382922e-09
3.16	1.08766020873e-09
3.18	7.97051375119e-10
3.2	5.8281377096e-10
3.22	4.25230073676e-10
3.24	3.09577277994e-10
3.26	2.2488753407e-10
3.28	1.63009586662e-10
3.3	1.17899680193e-10
3.32	8.50871705338e-11
3.34	6.12728056298e-11
3.36	4.40274908938e-11
3.38	3.15669660145e-11
3.4	2.25836814321e-11
3.42	1.61216643625e-11
3.44	1.14836117475e-11
3.46	8.1620803067e-12
3.48	5.7886489055e-12
3.5	4.09645118195e-12
3.52	2.89262962446e-12
3.54	2.03813332169e-12
3.56	1.43293768154e-12
3.58	1.00525724212e-12
3.6	7.03691894307e-13
3.62	4.91522670007e-13
3.64	3.42578780434e-13
3.66	2.38250323393e-13
3.68	1.65334278322e-13
3.7	1.14485083295e-13
3.72	7.9102776648e-14
3.74	5.45370449314e-14
3.76	3.75187837373e-14
3.78	2.57551093995e-14
3.8	1.76415104928e-14
3.82	1.20577444903e-14
3.84	8.22345927219e-15
3.86	5.59630521122e-15
3.88	3.80020330038e-15
3.9	2.57496349375e-15
3.92	1.74098224021e-15
3.94	1.17456440534e-15
3.96	7.90712800984e-16
3.98	5.31153871119e-16
4.0	3.56026058002e-16
4.02	2.38124059881e-16
4.04	1.58922369714e-16
4.06	1.0583449668e-16
4.08	7.0328301342e-17
4.1	4.66330550559e-17
4.12	3.08545109019e-17
4.14	2.03706420837e-17
4.16	1.34199907727e-17
4.18	8.82188426431e-18
4.2	5.78671808491e-18
4.22	3.78761052008e-18
4.24	2.47377679241e-18
4.26	1.61219697429e-18
4.28	1.04842718069e-18
4.3	6.8033247779e-19
4.32	4.4052147074e-19
4.34	2.84626991315e-19
4.36	1.83505205151e-19
4.38	1.18054942697e-19
4.4	7.57850636527e-20
4.42	4.85452673654e-20
4.44	3.10294573748e-20
4.46	1.97909044757e-20
4.48	1.25956751928e-20
4.5	7.9991120617e-21
4.52	5.06905256496e-21
4.54	3.20535887639e-21
4.56	2.02251403544e-21
4.58	1.27341983025e-21
4.6	8.00049792115e-22
4.62	5.01565815868e-22
4.64	3.13765007195e-22
4.66	1.95860522006e-22
4.68	1.21998724084e-22
4.7	7.58280357244e-23
4.72	4.70295273879e-23
4.74	2.91056878477e-23
4.76	1.7974288861e-23
4.78	1.10762388914e-23
4.8	6.81082636352e-24
4.82	4.17901902862e-24
4.84	2.55868063301e-24
4.86	1.56323818257e-24
4.88	9.53019332522e-25
4.9	5.79756858005e-25
4.92	3.51931263628e-25
4.94	2.13175708288e-25
4.96	1.28850358766e-25
4.98	7.77144433155e-26
5.0	4.67720254607e-26
#normalisation = 1.00000044016
