# mass number (A) = 12
# number of protons (Z) = 6
# k (1/fm)	relative two_body (fm^3)
0.0	4.40544743846
0.02	4.4039272802
0.04	4.39936041746
0.06	4.39172787377
0.08	4.38099864255
0.1	4.36713060571
0.12	4.35007179429
0.14	4.32976196647
0.16	4.30613447177
0.18	4.27911836488
0.2	4.24864072712
0.22	4.21462914961
0.24	4.17701432884
0.26	4.13573272275
0.28	4.09072921413
0.3	4.04195972778
0.32	3.98939374848
0.34	3.93301668856
0.36	3.87283205658
0.38	3.80886338228
0.4	3.74115585777
0.42	3.66977765993
0.44	3.59482092566
0.46	3.5164023578
0.48	3.43466344695
0.5	3.34977030184
0.52	3.26191308829
0.54	3.17130508442
0.56	3.07818136707
0.58	2.98279715124
0.6	2.88542581089
0.62	2.78635661515
0.64	2.68589221909
0.66	2.58434595209
0.68	2.48203895046
0.7	2.37929718268
0.72	2.27644841694
0.74	2.17381918096
0.76	2.07173176264
0.78	1.97050129871
0.8	1.87043299523
0.82	1.77181952065
0.84	1.6749386072
0.86	1.58005089211
0.88	1.48739802407
0.9	1.39720105528
0.92	1.30965913306
0.94	1.22494849928
0.96	1.14322180022
0.98	1.06460770345
1.0	0.989210813549
1.02	0.917111873389
1.04	0.84836823348
1.06	0.783014568305
1.08	0.721063815393
1.1	0.662508310579
1.12	0.607321091171
1.14	0.555457337738
1.16	0.506855924803
1.18	0.461441051021
1.2	0.419123920137
1.22	0.379804445345
1.24	0.34337295139
1.26	0.309711850796
1.28	0.278697273007
1.3	0.250200627757
1.32	0.224090086732
1.34	0.200231970313
1.36	0.178492028984
1.38	0.158736611675
1.4	0.140833715907
1.42	0.124653917041
1.44	0.11007117615
1.46	0.0969635280671
1.48	0.0852136529306
1.5	0.0747093360453
1.52	0.0653438221717
1.54	0.0570160713358
1.56	0.04963092402
1.58	0.0430991841194
1.6	0.0373376283543
1.62	0.0322689509369
1.64	0.0278216522281
1.66	0.0239298799014
1.68	0.0205332307846
1.7	0.0175765211043
1.72	0.0150095323249
1.74	0.0127867391877
1.76	0.0108670259258
1.78	0.00921339598559
1.8	0.00779267992855
1.82	0.00657524554903
1.84	0.00553471361869
1.86	0.0046476820794
1.88	0.00389346095337
1.9	0.00325381973055
1.92	0.0027127485317
1.94	0.00225623393295
1.96	0.00187204997473
1.98	0.00154956456419
2.0	0.0012795612135
2.02	0.0010540758346
2.04	0.00086624813142
2.06	0.000710186988499
2.08	0.000580849148468
2.1	0.000473930394414
2.12	0.000385768403952
2.14	0.000313256415697
2.16	0.000253766842137
2.18	0.000205083972432
2.2	0.000165344931081
2.22	0.000132988091024
2.24	0.000106708179981
2.26	8.54173644462e-05
2.28	6.82116448869e-05
2.3	5.43419466666e-05
2.32	4.31893427173e-05
2.34	3.42438948971e-05
2.36	2.70866504434e-05
2.38	2.13743773001e-05
2.4	1.68266668732e-05
2.42	1.32150746313e-05
2.44	1.03540077131e-05
2.46	8.0931042439e-06
2.48	6.3108813947e-06
2.5	4.90945840279e-06
2.52	3.8101869394e-06
2.54	2.95004450251e-06
2.56	2.27866712705e-06
2.58	1.75591583321e-06
2.6	1.34988708845e-06
2.62	1.03529134805e-06
2.64	7.921356706e-07
2.66	6.04656675481e-07
2.68	4.60458908182e-07
2.7	3.49821181416e-07
2.72	2.65139826816e-07
2.74	2.00483171734e-07
2.76	1.51236081312e-07
2.78	1.13817196969e-07
2.8	8.54546650306e-08
2.82	6.40087765767e-08
2.84	4.78321138724e-08
2.86	3.56595907951e-08
2.88	2.65222462007e-08
2.9	1.96798528171e-08
2.92	1.45683851678e-08
2.94	1.07591864819e-08
2.96	7.92731888803e-09
2.98	5.82710061129e-09
3.0	4.27325113529e-09
3.02	3.12639928942e-09
3.04	2.28197566398e-09
3.06	1.6617225809e-09
3.08	1.20722268579e-09
3.1	8.7497976829e-10
3.12	6.32689738873e-10
3.14	4.56421532079e-10
3.16	3.28491703459e-10
3.18	2.35866370532e-10
3.2	1.68962905433e-10
3.22	1.2075380479e-10
3.24	8.60983383306e-11
3.26	6.12454155016e-11
3.28	4.34647959537e-11
3.3	3.07742389056e-11
3.32	2.17381700224e-11
3.34	1.53195141175e-11
3.36	1.07709426364e-11
3.38	7.55526158336e-12
3.4	5.28728504101e-12
3.42	3.6915072162e-12
3.44	2.57135978494e-12
3.46	1.78694196225e-12
3.48	1.23893027166e-12
3.5	8.56983457265e-13
3.52	5.91408424113e-13
3.54	4.07185591025e-13
3.56	2.79696771787e-13
3.58	1.91678318666e-13
3.6	1.3105371539e-13
3.62	8.93957381081e-14
3.64	6.08381136315e-14
3.66	4.13072638109e-14
3.68	2.79813840582e-14
3.7	1.89105578798e-14
3.72	1.27506457675e-14
3.74	8.5773476677e-15
3.76	5.75661441836e-15
3.78	3.85456043961e-15
3.8	2.57499544013e-15
3.82	1.71621718431e-15
3.84	1.14120192142e-15
3.86	7.5708997272e-16
3.88	5.01103607577e-16
3.9	3.30904657548e-16
3.92	2.18008699249e-16
3.94	1.43298167076e-16
3.96	9.39731072578e-17
3.98	6.14841181855e-17
4.0	4.01346044129e-17
4.02	2.61379766385e-17
4.04	1.69833025569e-17
4.06	1.10095556038e-17
4.08	7.12057638695e-18
4.1	4.59471398435e-18
4.12	2.95801272622e-18
4.14	1.89994078857e-18
4.16	1.2175275964e-18
4.18	7.78424549538e-19
4.2	4.96539084479e-19
4.22	3.16001976046e-19
4.24	2.00643843602e-19
4.26	1.27104754106e-19
4.28	8.0333723831e-20
4.3	5.06564068438e-20
4.32	3.1869222579e-20
4.34	2.00036565331e-20
4.36	1.25270370947e-20
4.38	7.82687889088e-21
4.4	4.87899484354e-21
4.42	3.03440689252e-21
4.44	1.88286507439e-21
4.46	1.16564611974e-21
4.48	7.19973637368e-22
4.5	4.43679154775e-22
4.52	2.72787345553e-22
4.54	1.6733330299e-22
4.56	1.02410319019e-22
4.58	6.25328793351e-23
4.6	3.80957654379e-23
4.62	2.31552113237e-23
4.64	1.40418637773e-23
4.66	8.49581245596e-24
4.68	5.12848894578e-24
4.7	3.08871946779e-24
4.72	1.85597545781e-24
4.74	1.11268158466e-24
4.76	6.65540767028e-25
4.78	3.97176641104e-25
4.8	2.36482053512e-25
4.82	1.40481232628e-25
4.84	8.32615016472e-26
4.86	4.92352506498e-26
4.88	2.9047865465e-26
4.9	1.70985241027e-26
4.92	1.00417527682e-26
4.94	5.8839245124e-27
4.96	3.43978655653e-27
4.98	2.006332451e-27
5.0	1.16756606672e-27
#normalisation = 1.00000043997
