# mass number (A) = 12
# number of protons (Z) = 6
# k (1/fm)	relative two_body (fm^3)
0.0	196.175106436
0.02	196.039695137
0.04	195.634087739
0.06	194.96015678
0.08	194.021000103
0.1	192.820906828
0.12	191.365310763
0.14	189.660732305
0.16	187.714710066
0.18	185.535723698
0.2	183.133109514
0.22	180.516970619
0.24	177.698083293
0.26	174.687801405
0.28	171.497960533
0.3	168.14078342
0.32	164.628788198
0.34	160.974700698
0.36	157.191371899
0.38	153.291701389
0.4	149.288567456
0.42	145.194764183
0.44	141.022945702
0.46	136.785577541
0.48	132.494894782
0.5	128.162866593
0.52	123.801166551
0.54	119.421148062
0.56	115.033824112
0.58	110.649850555
0.6	106.279512122
0.62	101.932710414
0.64	97.6189531387
0.66	93.3473440007
0.68	89.1265727136
0.7	84.9649047568
0.72	80.8701706076
0.74	76.8497543207
0.76	72.9105814546
0.78	69.0591064638
0.8	65.3012997854
0.82	61.6426349396
0.84	58.0880760381
0.86	54.6420661441
0.88	51.3085169604
0.9	48.0908003276
0.92	44.9917420013
0.94	42.0136181455
0.96	39.158154926
0.98	36.426531524
1.0	33.8193868103
1.02	31.336829835
1.04	28.9784541986
1.06	26.7433562733
1.08	24.6301571554
1.1	22.637028143
1.12	20.7617194522
1.14	19.0015918172
1.16	17.3536505596
1.18	15.8145816688
1.2	14.3807893988
1.22	13.048434872
1.24	11.8134751706
1.26	10.6717024061
1.28	9.61878227384
1.3	8.65029162936
1.32	7.7617546612
1.34	6.94867727998
1.36	6.20657939436
1.38	5.53102479934
1.4	4.91764845947
1.42	4.36218102679
1.44	3.86047049007
1.46	3.40850090626
1.48	3.00240821594
1.5	2.63849319129
1.52	2.31323160662
1.54	2.02328175769
1.56	1.76548948619
1.58	1.5368908902
1.6	1.33471291958
1.62	1.15637206823
1.64	0.999471382258
1.66	0.861796005667
1.68	0.741307483029
1.7	0.636137032799
1.72	0.544577995719
1.74	0.465077650965
1.76	0.396228578717
1.78	0.336759732404
1.8	0.285527367432
1.82	0.241505956217
1.84	0.203779202305
1.86	0.171531249617
1.88	0.144038166632
1.9	0.120659770063
1.92	0.100831838257
1.94	0.0840587514897
1.96	0.0699065845048
1.98	0.0579966661745
2.0	0.0479996120149
2.02	0.0396298274728
2.04	0.0326404733376
2.06	0.0268188792792
2.08	0.0219823872612
2.1	0.0179746033402
2.12	0.0146620340369
2.14	0.0119310819322
2.16	0.00968537430975
2.18	0.0078433984216
2.2	0.00633641719801
2.22	0.00510663987157
2.24	0.00410562294315
2.26	0.00329287811787
2.28	0.00263466520884
2.3	0.00210294949015
2.32	0.00167450452657
2.34	0.00133014307542
2.36	0.0010540602104
2.38	0.000833274332169
2.4	0.000657153183448
2.42	0.0005170133636
2.44	0.000405783126702
2.46	0.000317719442653
2.48	0.000248171398667
2.5	0.000193383018595
2.52	0.000150329481294
2.54	0.000116581530145
2.56	9.0193588491e-05
2.58	6.9611735597e-05
2.6	5.35982608309e-05
2.62	4.1170006495e-05
2.64	3.15481384275e-05
2.66	2.41173545539e-05
2.68	1.83928610611e-05
2.7	1.39937196112e-05
2.72	1.06214024295e-05
2.74	8.04259020837e-06
2.76	6.07541514292e-06
2.78	4.57849220311e-06
2.8	3.44219965882e-06
2.82	2.58176821414e-06
2.84	1.93181978321e-06
2.86	1.44206450297e-06
2.88	1.073920245e-06
