# mass number (A) = 12
# number of protons (Z) = 6
# k (1/fm)	relative two_body (fm^3)
0.0	47.2922129255
0.02	47.3097533524
0.04	47.3618505808
0.06	47.4469421182
0.08	47.5624558255
0.1	47.7048572465
0.12	47.8697145008
0.14	48.05177941
0.16	48.2450832028
0.18	48.4430448576
0.2	48.6385899003
0.22	48.8242772871
0.24	48.9924318613
0.26	49.1352798007
0.28	49.2450844474
0.3	49.3142799494
0.32	49.3356002377
0.34	49.3022010042
0.36	49.2077725414
0.38	49.0466415369
0.4	48.813860186
0.42	48.5052812851
0.44	48.1176182851
0.46	47.6484896155
0.48	47.0964469258
0.5	46.46098722
0.52	45.7425491815
0.54	44.9424942852
0.56	44.0630735736
0.58	43.1073812159
0.6	42.079296186
0.62	40.9834135657
0.64	39.8249671173
0.66	38.6097448593
0.68	37.3439994331
0.7	36.0343550581
0.72	34.6877128467
0.74	33.3111561859
0.76	31.9118577977
0.78	30.4969899664
0.8	29.0736392743
0.82	27.6487270194
0.84	26.2289363101
0.86	24.8206466429
0.88	23.4298765737
0.9	22.0622349047
0.92	20.7228806194
0.94	19.4164916181
0.96	18.1472421447
0.98	16.9187886385
1.0	15.7342636157
1.02	14.5962770655
1.04	13.5069247547
1.06	12.4678027552
1.08	11.4800274572
1.1	10.5442602942
1.12	9.66073638947
1.14	8.82929633455
1.16	8.04942032793
1.18	7.32026393056
1.2	6.64069473891
1.22	6.00932932726
1.24	5.42456987103
1.26	4.88463992776
1.28	4.38761892136
1.3	3.93147494532
1.32	3.51409557096
1.34	3.13331641555
1.36	2.78694729068
1.38	2.4727958135
1.4	2.18868841994
1.42	1.93248877085
1.44	1.70211358722
1.46	1.49554599009
1.48	1.31084645368
1.5	1.14616150694
1.52	0.999730339798
1.54	0.869889485217
1.56	0.755075758245
1.58	0.653827638374
1.6	0.564785282424
1.62	0.486689352436
1.64	0.418378837253
1.66	0.358788038084
1.68	0.306942877953
1.7	0.261956683102
1.72	0.223025571475
1.74	0.189423569934
1.76	0.160497568082
1.78	0.135662202922
1.8	0.114394755278
1.82	0.0962301261495
1.84	0.080755949223
1.86	0.0676078846162
1.88	0.0564651288185
1.9	0.047046166639
1.92	0.0391047828863
1.94	0.0324263444321
1.96	0.0268243572366
1.98	0.0221372977983
2.0	0.0182257142583
2.02	0.0149695889868
2.04	0.0122659518171
2.06	0.0100267311029
2.08	0.00817682836865
2.1	0.00665240142692
2.12	0.00539934037815
2.14	0.00437192080562
2.16	0.00353161867911
2.18	0.00284607191456
2.2	0.00228817415495
2.22	0.00183528709074
2.24	0.00146855848602
2.26	0.00117233398238
2.28	0.00093365168849
2.3	0.000741809504192
2.32	0.000587996053746
2.34	0.000464976999728
2.36	0.000366829364043
2.38	0.000288717288457
2.4	0.000226703417954
2.42	0.000177590783279
2.44	0.000138790692938
2.46	0.000108212720096
2.48	8.41733877621e-05
2.5	6.53206188265e-05
2.52	5.05714289985e-05
2.54	3.90607040101e-05
2.56	3.00992213327e-05
2.58	2.31393549945e-05
2.6	1.77471437315e-05
2.62	1.35796114129e-05
2.64	1.03664080498e-05
2.66	7.89499311598e-06
2.68	5.99871351713e-06
2.7	4.54723924013e-06
2.72	3.43891311485e-06
2.74	2.59464959682e-06
2.76	1.95308313729e-06
2.78	1.46672141759e-06
2.8	1.09890413097e-06
2.82	8.21405530719e-07
2.84	6.12549874221e-07
2.86	4.55734250742e-07
2.88	3.38274006574e-07
2.9	2.50502858915e-07
2.92	1.85073484016e-07
2.94	1.36415436849e-07
2.96	1.0031617951e-07
2.98	7.35981569523e-08
3.0	5.38705884711e-08
3.02	3.9339212275e-08
3.04	2.86608513704e-08
3.06	2.08325449586e-08
3.08	1.51072599918e-08
3.1	1.09299841416e-08
3.12	7.88940275825e-09
3.14	5.68145801455e-09
3.16	4.08194229991e-09
3.18	2.92594131486e-09
3.2	2.09245608438e-09
3.22	1.49292977973e-09
3.24	1.06271055242e-09
3.26	7.5471586433e-10
3.28	5.34743023636e-10
3.3	3.78007331468e-10
3.32	2.66593188094e-10
3.34	1.87582311032e-10
3.36	1.31682784356e-10
3.38	9.22275512932e-11
3.4	6.44446966836e-11
3.42	4.49271414307e-11
3.44	3.12482536523e-11
3.46	2.16839471461e-11
3.48	1.50122854176e-11
3.5	1.03693474435e-11
3.52	7.14582598309e-12
3.54	4.91303765835e-12
3.56	3.37011442931e-12
3.58	2.30640911437e-12
3.6	1.57480009675e-12
3.62	1.07278366248e-12
3.64	7.29116186922e-13
3.66	4.94401110244e-13
3.68	3.34472547678e-13
3.7	2.25756412724e-13
3.72	1.52026227924e-13
3.74	1.02140029718e-13
3.76	6.8465644646e-14
3.78	4.57877085084e-14
3.8	3.05509574246e-14
3.82	2.03376452825e-14
3.84	1.35075522848e-14
3.86	8.95061769185e-15
3.88	5.91738644689e-15
3.9	3.90308172218e-15
3.92	2.56854011519e-15
