# mass number (A) = 48
# number of protons (Z) = 20
# k (1/fm)	relative two_body (fm^3)
0.0	3.58119756703
0.02	3.58265901131
0.04	3.58696566007
0.06	3.59388710786
0.08	3.60304806197
0.1	3.61394104923
0.12	3.62594348826
0.14	3.6383384503
0.16	3.65033829413
0.18	3.66111026044
0.2	3.66980305235
0.22	3.67557341359
0.24	3.67761174395
0.26	3.67516585988
0.28	3.66756211316
0.3	3.654223215
0.32	3.63468227045
0.34	3.60859269955
0.36	3.57573389954
0.38	3.53601267699
0.4	3.48946064321
0.42	3.43622791299
0.44	3.37657357003
0.46	3.31085345816
0.48	3.23950592316
0.5	3.16303616414
0.52	3.08199985749
0.54	2.99698669132
0.56	2.90860439872
0.58	2.81746380692
0.6	2.72416533287
0.62	2.62928725786
0.64	2.53337601125
0.66	2.4369385903
0.68	2.34043714447
0.7	2.2442856633
0.72	2.14884862843
0.74	2.05444142711
0.76	1.9613322761
0.78	1.86974537319
0.8	1.7798649773
0.82	1.69184011712
0.84	1.6057896402
0.86	1.52180733762
0.88	1.43996691155
0.9	1.36032659122
0.92	1.2829332453
0.94	1.20782588198
0.96	1.13503847128
0.98	1.06460206429
1.0	0.996546220285
1.02	0.930899783626
1.04	0.867691077507
1.06	0.806947600097
1.08	0.748695321099
1.1	0.692957682895
1.12	0.639754411108
1.14	0.589100235179
1.16	0.5410036113
1.18	0.495465528658
1.2	0.452478466329
1.22	0.412025553318
1.24	0.374079968836
1.26	0.338604604881
1.28	0.305551999017
1.3	0.274864532486
1.32	0.246474877854
1.34	0.220306671402
1.36	0.196275378697
1.38	0.174289317049
1.4	0.154250795976
1.42	0.136057336008
1.44	0.119602927088
1.46	0.10477929013
1.48	0.091477108699
1.5	0.0795872020353
1.52	0.0690016153967
1.54	0.0596146087675
1.56	0.0513235300586
1.58	0.0440295638554
1.6	0.0376383513736
1.62	0.0320604814207
1.64	0.0272118557653
1.66	0.0230139353193
1.68	0.0193938759186
1.7	0.0162845642633
1.72	0.0136245657677
1.74	0.0113579967222
1.76	0.00943433335433
1.78	0.00780817014851
1.8	0.00643893922694
1.82	0.0052906017783
1.84	0.00433132151335
1.86	0.00353312899661
1.88	0.00287158450742
1.9	0.00232544587209
1.92	0.00187634652449
1.94	0.00150848792788
1.96	0.00120834945108
1.98	0.000964417855032
2.0	0.000766937721204
2.02	0.000607683445887
2.04	0.000479752833638
2.06	0.000377381844381
2.08	0.000295779674529
2.1	0.000230983073419
2.12	0.000179728601476
2.14	0.000139341414357
2.16	0.000107639096464
2.18	8.28490563845e-05
2.2	6.35380258241e-05
2.22	4.8552262783e-05
2.24	3.69671409275e-05
2.26	2.80449029672e-05
2.28	2.11994603934e-05
2.3	1.5967230169e-05
2.32	1.19831069678e-05
2.34	8.96077435372e-06
2.36	6.67665766007e-06
2.38	4.95691381118e-06
2.4	3.66693799544e-06
2.42	2.70294352201e-06
2.44	1.985239296e-06
2.46	1.45288933902e-06
2.48	1.05949106839e-06
2.5	7.69854174369e-07
2.52	5.57400520996e-07
2.54	4.02138207213e-07
2.56	2.89090426701e-07
2.58	2.07082706808e-07
2.6	1.47811101948e-07
2.62	1.0512953084e-07
2.64	7.45071927821e-08
2.66	5.26173330455e-08
2.68	3.70269528323e-08
2.7	2.59637235769e-08
2.72	1.81416671424e-08
2.74	1.26313559648e-08
2.76	8.76368303321e-09
2.78	6.05882763994e-09
2.8	4.17404494165e-09
2.82	2.8654548001e-09
2.84	1.96019487469e-09
2.86	1.33621241622e-09
2.88	9.07660921682e-10
2.9	6.14391164789e-10
2.92	4.14420065928e-10
2.94	2.7855590688e-10
2.96	1.86578259515e-10
2.98	1.24534031706e-10
3.0	8.28313374143e-11
3.02	5.49012425309e-11
3.04	3.62620038201e-11
3.06	2.38673824895e-11
3.08	1.56546148586e-11
3.1	1.02321242631e-11
3.12	6.66463334536e-12
3.14	4.32588489196e-12
3.16	2.7980990993e-12
3.18	1.80360671443e-12
3.2	1.15854361472e-12
3.22	7.4161053186e-13
3.24	4.73078813528e-13
3.26	3.00736652531e-13
3.28	1.90517822117e-13
3.3	1.20276937546e-13
3.32	7.5670696781e-14
3.34	4.74430742601e-14
3.36	2.96427657688e-14
3.38	1.84572294241e-14
3.4	1.14529471612e-14
3.42	7.08226251797e-15
3.44	4.36447338709e-15
3.46	2.68038872118e-15
3.48	1.64047963879e-15
3.5	1.00058054515e-15
3.52	6.08194401795e-16
3.54	3.68419774417e-16
3.56	2.2241013938e-16
3.58	1.33806849049e-16
3.6	8.0226007993e-17
3.62	4.79364704027e-17
3.64	2.85451219068e-17
3.66	1.69400100467e-17
3.68	1.00187205534e-17
3.7	5.90511849151e-18
3.72	3.46867515123e-18
3.74	2.0305710821e-18
3.76	1.18465858595e-18
3.78	6.88794283389e-19
3.8	3.99124187361e-19
3.82	2.30488681727e-19
3.84	1.3265238193e-19
3.86	7.60860840473e-20
3.88	4.34931611696e-20
3.9	2.47778202697e-20
3.92	1.40680018709e-20
3.94	7.96030548432e-21
3.96	4.48906448708e-21
3.98	2.52296678108e-21
4.0	1.41318030458e-21
4.02	7.88886899312e-22
4.04	4.38898196596e-22
4.06	2.43357920159e-22
4.08	1.34480883524e-22
4.1	7.40644390227e-23
4.12	4.06531090156e-23
4.14	2.22389026457e-23
4.16	1.21246501574e-23
4.18	6.58812842635e-24
4.2	3.56773484546e-24
4.22	1.92557946288e-24
4.24	1.0357843938e-24
4.26	5.55286348918e-25
4.28	2.96691437423e-25
4.3	1.57991626103e-25
4.32	8.38503379952e-26
4.34	4.43524793851e-26
4.36	2.33815857495e-26
4.38	1.22849565707e-26
4.4	6.43305874473e-27
4.42	3.35742448987e-27
4.44	1.74638682265e-27
4.46	9.0535873527e-28
4.48	4.67786411804e-28
4.5	2.40891654642e-28
4.52	1.23635656029e-28
4.54	6.32432425965e-29
4.56	3.22428557522e-29
4.58	1.63833389935e-29
4.6	8.29700668307e-30
4.62	4.18785003253e-30
4.64	2.10674517936e-30
4.66	1.05629359123e-30
4.68	5.27848832324e-31
4.7	2.62898010904e-31
4.72	1.30502362784e-31
4.74	6.45659147001e-32
4.76	3.18377679981e-32
4.78	1.56472059989e-32
4.8	7.6645448598e-33
4.82	3.74189694266e-33
4.84	1.82076395842e-33
4.86	8.83023649759e-34
4.88	4.26823542846e-34
4.9	2.0562798437e-34
4.92	9.87357351239e-35
4.94	4.7252552193e-35
4.96	2.25390392872e-35
4.98	1.07153216508e-35
5.0	5.07732727908e-36
#normalisation = 0.979195894803
