# mass number (A) = 40
# number of protons (Z) = 20
# k (1/fm)	relative two_body (fm^3)
0.0	3.82790046806
0.02	3.82878556167
0.04	3.83138031325
0.06	3.83550500143
0.08	3.84086624666
0.1	3.84706601857
0.12	3.85361380248
0.14	3.85994150242
0.16	3.86542056708
0.18	3.86938075379
0.2	3.87112989819
0.22	3.86997403316
0.24	3.86523720256
0.26	3.85628034135
0.28	3.84251864268
0.3	3.82343690235
0.32	3.79860241753
0.34	3.76767511695
0.36	3.730414708
0.38	3.68668473962
0.4	3.63645359133
0.42	3.5797925063
0.44	3.51687088371
0.46	3.44794913055
0.48	3.37336944209
0.5	3.29354493113
0.52	3.20894755864
0.54	3.12009533082
0.56	3.02753922172
0.58	2.93185025705
0.6	2.83360715606
0.62	2.73338487659
0.64	2.63174434713
0.66	2.52922360214
0.68	2.42633046563
0.7	2.32353685758
0.72	2.22127473001
0.74	2.1199335779
0.76	2.01985941637
0.78	1.92135507128
0.8	1.82468159735
0.82	1.73006061534
0.84	1.63767734905
0.86	1.54768414204
0.88	1.4602042432
0.9	1.37533566705
0.92	1.29315495835
0.94	1.21372071888
0.96	1.1370767851
0.98	1.06325497822
1.0	0.992277379398
1.02	0.924158113226
1.04	0.858904649
1.06	0.796518652436
1.08	0.736996438446
1.1	0.680329089025
1.12	0.626502308688
1.14	0.575496093539
1.16	0.527284289515
1.18	0.481834111003
1.2	0.439105683718
1.22	0.39905166615
1.24	0.361616992784
1.26	0.326738770434
1.28	0.294346347114
1.3	0.264361561421
1.32	0.236699169974
1.34	0.211267441414
1.36	0.187968898022
1.38	0.16670118038
1.4	0.147358006615
1.42	0.129830195694
1.44	0.114006723742
1.46	0.0997757832631
1.48	0.087025817315
1.5	0.075646503704
1.52	0.0655296680379
1.54	0.0565701086036
1.56	0.0486663203862
1.58	0.0417211098507
1.6	0.0356420962118
1.62	0.0303420986792
1.64	0.025739412472
1.66	0.0217579791909
1.68	0.018327459375
1.7	0.0153832167508
1.72	0.0128662248244
1.74	0.0107229071055
1.76	0.0089049224495
1.78	0.00736890680739
1.8	0.00607618216794
1.82	0.00499244271858
1.84	0.00408742731382
1.86	0.00333458628487
1.88	0.00271074950613
1.9	0.00219580150271
1.92	0.00177236827859
1.94	0.00142551949807
1.96	0.00114248868919
1.98	0.000912413271238
2.0	0.00072609545047
2.02	0.000575784380846
2.04	0.000454979450518
2.06	0.000358254123892
2.08	0.000281099436628
2.1	0.000219785997124
2.12	0.000171243182313
2.14	0.000132954117013
2.16	0.000102864983399
2.18	7.93072100576e-05
2.2	6.09311285301e-05
2.22	4.66497505697e-05
2.24	3.55914035999e-05
2.26	2.70600585536e-05
2.28	2.05022877397e-05
2.3	1.5479896196e-05
2.32	1.16473745892e-05
2.34	8.7334224815e-06
2.36	6.52588577447e-06
2.38	4.85954012957e-06
2.4	3.60623239549e-06
2.42	2.66696425323e-06
2.44	1.96556643006e-06
2.46	1.44366820241e-06
2.48	1.05671594049e-06
2.5	7.70836697417e-07
2.52	5.60378926664e-07
2.54	4.0599296938e-07
2.56	2.93139626965e-07
2.58	2.10936542679e-07
2.6	1.51269838904e-07
2.62	1.08113026593e-07
2.64	7.70071014201e-08
2.66	5.46653943796e-08
2.68	3.86745275851e-08
2.7	2.72690629413e-08
2.72	1.91623997474e-08
2.74	1.3420412289e-08
2.76	9.36741744661e-09
2.78	6.51648943046e-09
2.8	4.5180293457e-09
2.82	3.12196216345e-09
2.84	2.15006277476e-09
2.86	1.47577863944e-09
2.88	1.00957714628e-09
2.9	6.88347319997e-10
2.92	4.67764388878e-10
2.94	3.16810574437e-10
2.96	2.13858596466e-10
2.98	1.43883108024e-10
3.0	9.64829262514e-11
3.02	6.44837318395e-11
3.04	4.29546674076e-11
3.06	2.85188821898e-11
3.08	1.88720030502e-11
3.1	1.2447102233e-11
3.12	8.18247437303e-12
3.14	5.36128073497e-12
3.16	3.50123516613e-12
3.18	2.278999201e-12
3.2	1.47855853887e-12
3.22	9.56105060953e-13
3.24	6.16235505375e-13
3.26	3.95879552382e-13
3.28	2.53487124674e-13
3.3	1.61780596315e-13
3.32	1.02914328312e-13
3.34	6.52537263712e-14
3.36	4.12397488753e-14
3.38	2.59782008593e-14
3.4	1.63111889646e-14
3.42	1.02081435481e-14
3.44	6.36786156643e-15
3.46	3.95938043966e-15
3.48	2.45385384244e-15
3.5	1.51585980509e-15
3.52	9.33381748782e-16
3.54	5.72862656742e-16
3.56	3.50456135194e-16
3.58	2.13702576938e-16
3.6	1.29891210948e-16
3.62	7.86945489454e-17
3.64	4.7523165798e-17
3.66	2.86063760149e-17
3.68	1.71639804723e-17
3.7	1.02653032102e-17
3.72	6.11962840721e-18
3.74	3.63645911139e-18
3.76	2.15394012413e-18
3.78	1.27171755913e-18
3.8	7.48429131573e-19
3.82	4.39050537041e-19
3.84	2.56733761262e-19
3.86	1.49643174436e-19
3.88	8.6943497274e-20
3.9	5.035288488e-20
3.92	2.90682879344e-20
3.94	1.67271968023e-20
3.96	9.59480738977e-21
3.98	5.48604657258e-21
4.0	3.12675316292e-21
4.02	1.77639408335e-21
4.04	1.00599859676e-21
4.06	5.67895573477e-22
4.08	3.19560689393e-22
4.1	1.79247319122e-22
4.12	1.00222937966e-22
4.14	5.58595470843e-23
4.16	3.10344590768e-23
4.18	1.7187317557e-23
4.2	9.4883309879e-24
4.22	5.22143648449e-24
4.24	2.86423902557e-24
4.26	1.56620364156e-24
4.28	8.53704429759e-25
4.3	4.63860922182e-25
4.32	2.5124046637e-25
4.34	1.3564804658e-25
4.36	7.30062828287e-26
4.38	3.91678967594e-26
4.4	2.09471124532e-26
4.42	1.11671549844e-26
4.44	5.93452482899e-27
4.46	3.14380023337e-27
4.48	1.66016045065e-27
4.5	8.73920361152e-28
4.52	4.58586071276e-28
4.54	2.39881964789e-28
4.56	1.25084239668e-28
4.58	6.50184126691e-29
4.6	3.36898762624e-29
4.62	1.74017232102e-29
4.64	8.96015210755e-30
4.66	4.59906221964e-30
4.68	2.35317621994e-30
4.7	1.20024902094e-30
4.72	6.10267845756e-31
4.74	3.09315941714e-31
4.76	1.56284990392e-31
4.78	7.87165129759e-32
4.8	3.95228712251e-32
4.82	1.97817923455e-32
4.84	9.87001344167e-33
4.86	4.9091380107e-33
4.88	2.43404478079e-33
4.9	1.20306235983e-33
4.92	5.92767508545e-34
4.94	2.91150631462e-34
4.96	1.42557014094e-34
4.98	6.95820727486e-35
5.0	3.38566866999e-35
#normalisation = 0.990427108344
