# mass number (A) = 56
# number of protons (Z) = 26
# k (1/fm)	relative two_body (fm^3)
0.0	3.51333188048
0.02	3.5151702191
0.04	3.52059027168
0.06	3.52931072176
0.08	3.54087445755
0.1	3.55466563736
0.12	3.56993249569
0.14	3.58581487462
0.16	3.60137527015
0.18	3.61563205137
0.2	3.6275934475
0.22	3.63629090562
0.24	3.64081049728
0.26	3.64032119006
0.28	3.63409898923
0.3	3.62154618431
0.32	3.60220519094
0.34	3.57576674482
0.36	3.54207246824
0.38	3.50111207565
0.4	3.45301570251
0.42	3.39804202062
0.44	3.33656293735
0.46	3.26904576168
0.48	3.19603375625
0.5	3.11812598336
0.52	3.03595729997
0.54	2.95017926669
0.56	2.86144261913
0.58	2.77038181312
0.6	2.67760200904
0.62	2.58366871235
0.64	2.48910014588
0.66	2.39436230018
0.68	2.29986649769
0.7	2.20596921682
0.72	2.11297385598
0.74	2.02113407535
0.76	1.9306583346
0.78	1.84171524609
0.8	1.75443938184
0.82	1.66893720624
0.84	1.58529284995
0.86	1.50357349173
0.88	1.42383416848
0.9	1.3461218883
0.92	1.27047897288
0.94	1.19694560271
0.96	1.12556157901
0.98	1.05636735073
1.0	0.989404380368
1.02	0.924714941788
1.04	0.862341454427
1.06	0.802325463618
1.08	0.744706376408
1.1	0.689520057235
1.12	0.63679737925
1.14	0.586562815822
1.16	0.538833143787
1.18	0.493616316084
1.2	0.450910547272
1.22	0.410703641601
1.24	0.372972580342
1.26	0.337683373163
1.28	0.304791167948
1.3	0.274240604481
1.32	0.245966390193
1.34	0.219894070493
1.36	0.195940962224
1.38	0.174017216243
1.4	0.154026974093
1.42	0.135869583863
1.44	0.119440841685
1.46	0.104634227503
1.48	0.0913421067727
1.5	0.0794568732708
1.52	0.0688720121772
1.54	0.0594830667323
1.56	0.0511884960114
1.58	0.0438904154927
1.6	0.0374952160247
1.62	0.0319140604147
1.64	0.0270632600793
1.66	0.0228645369627
1.68	0.0192451782093
1.7	0.0161380928529
1.72	0.0134817810649
1.74	0.0112202273163
1.76	0.00930272917795
1.78	0.00768367347201
1.8	0.00632227113953
1.82	0.00518226156865
1.84	0.0042315962945
1.86	0.00344211099513
1.88	0.00278919362218
1.9	0.00225145537237
1.92	0.00181041006942
1.94	0.00145016642316
1.96	0.0011571365923
1.98	0.000919763522342
2.0	0.000728268675514
2.02	0.000574421023806
2.04	0.000451327543443
2.06	0.000353244927405
2.08	0.00027541181743
2.1	0.00021390054036
2.12	0.000165487106113
2.14	0.000127538075102
2.16	9.79128201934e-05
2.18	7.48796810611e-05
2.2	5.70445260797e-05
2.22	4.32902887646e-05
2.24	3.27261230685e-05
2.26	2.4644916704e-05
2.28	1.84880073175e-05
2.3	1.38160572152e-05
2.32	1.02851539752e-05
2.34	7.62731321688e-06
2.36	5.63466350458e-06
2.38	4.14669007612e-06
2.4	3.04000271234e-06
2.42	2.22017304058e-06
2.44	1.61525775534e-06
2.46	1.17068682903e-06
2.48	8.45250191147e-07
2.5	6.07963151774e-07
2.52	4.35630704007e-07
2.54	3.10964475861e-07
2.56	2.21134239543e-07
2.58	1.56659227253e-07
2.6	1.10563711668e-07
2.62	7.77369964994e-08
2.64	5.44506793472e-08
2.66	3.79962845027e-08
2.68	2.64145445843e-08
2.7	1.82941054063e-08
2.72	1.26225518281e-08
2.74	8.67666765305e-09
2.76	5.94196994952e-09
2.78	4.05397899815e-09
2.8	2.75554781796e-09
2.82	1.86600014585e-09
2.84	1.25890946542e-09
2.86	8.46171234835e-10
2.88	5.66636787778e-10
2.9	3.78038325864e-10
2.92	2.51277291619e-10
2.94	1.66402090473e-10
2.96	1.09787829976e-10
2.98	7.21674333954e-11
3.0	4.72630438566e-11
3.02	3.08387809016e-11
3.04	2.00479283719e-11
3.06	1.29849497689e-11
3.08	8.37936648141e-12
3.1	5.38745786736e-12
3.12	3.4511196183e-12
3.14	2.20262811831e-12
3.16	1.40064793593e-12
3.18	8.87411421436e-13
3.2	5.60184165303e-13
3.22	3.5232866293e-13
3.24	2.20789280758e-13
3.26	1.37854950619e-13
3.28	8.57595742768e-14
3.3	5.31569689704e-14
3.32	3.28289206731e-14
3.34	2.02010174303e-14
3.36	1.23854431411e-14
3.38	7.56611487613e-15
3.4	4.60530900829e-15
3.42	2.79299692492e-15
3.44	1.6877547206e-15
3.46	1.01619425708e-15
3.48	6.09640757744e-16
3.5	3.64420173872e-16
3.52	2.17051742054e-16
3.54	1.28812456287e-16
3.56	7.61706086224e-17
3.58	4.48800372676e-17
3.6	2.63485327837e-17
3.62	1.54133953675e-17
3.64	8.98421320036e-18
3.66	5.21798478334e-18
3.68	3.0197275372e-18
3.7	1.74130983149e-18
3.72	1.0005270188e-18
3.74	5.72831888812e-19
3.76	3.26792630758e-19
3.78	1.85765523904e-19
3.8	1.05222072353e-19
3.82	5.9387975605e-20
3.84	3.33995933099e-20
3.86	1.8716983596e-20
3.88	1.04516194546e-20
3.9	5.81547745181e-21
3.92	3.22435031641e-21
3.94	1.78137399084e-21
3.96	9.80674784341e-22
3.98	5.3796359334e-22
4.0	2.9406252839e-22
4.02	1.60171907913e-22
4.04	8.69348272937e-23
4.06	4.7017868909e-23
4.08	2.53393042208e-23
4.1	1.3607862757e-23
4.12	7.28198071693e-24
4.14	3.88306236704e-24
4.16	2.06331389088e-24
4.18	1.09250436151e-24
4.2	5.76432998511e-25
4.22	3.03070100527e-25
4.24	1.5878401187e-25
4.26	8.28973548979e-26
4.28	4.31266372969e-26
4.3	2.23574529781e-26
4.32	1.15497248668e-26
4.34	5.94558101873e-27
4.36	3.04993842792e-27
4.38	1.55905953071e-27
4.4	7.9416349599e-28
4.42	4.03119186605e-28
4.44	2.0390790629e-28
4.46	1.0278090154e-28
4.48	5.16260913937e-29
4.5	2.58407569356e-29
4.52	1.2889054678e-29
4.54	6.40644985168e-30
4.56	3.17318211241e-30
4.58	1.56622600146e-30
4.6	7.70364716487e-31
4.62	3.77590889876e-31
4.64	1.8442952293e-31
4.66	8.97684699323e-32
4.68	4.35413884544e-32
4.7	2.10458472763e-32
4.72	1.01371729714e-32
4.74	4.86579946063e-33
4.76	2.32744303e-33
4.78	1.10940982661e-33
4.8	5.26979398359e-34
4.82	2.49450583467e-34
4.84	1.17669860875e-34
4.86	5.53141635971e-35
4.88	2.59118494797e-35
4.9	1.20962841309e-35
4.92	5.62726798352e-36
4.94	2.60877009388e-36
4.96	1.20522225354e-36
4.98	5.54871131777e-37
5.0	2.54572387101e-37
#normalisation = 0.968930395437
