# mass number (A) = 16
# number of protons (Z) = 8
# k (1/fm)	relative two_body (fm^3)
0.0	4.43848460418
0.02	4.43701448048
0.04	4.43259691126
0.06	4.4252104845
0.08	4.41482011869
0.1	4.40137796096
0.12	4.38482462534
0.14	4.36509075189
0.16	4.34209886253
0.18	4.31576548403
0.2	4.28600350379
0.22	4.2527247196
0.24	4.2158425403
0.26	4.17527479051
0.28	4.13094656993
0.3	4.08279311485
0.32	4.03076260841
0.34	3.97481888552
0.36	3.91494397859
0.38	3.85114045199
0.4	3.78343347558
0.42	3.71187259162
0.44	3.63653313405
0.46	3.5575172651
0.48	3.47495460098
0.5	3.38900240621
0.52	3.29984534413
0.54	3.20769478034
0.56	3.11278764432
0.58	3.01538486398
0.6	2.91576939638
0.62	2.81424388639
0.64	2.71112799279
0.66	2.60675542793
0.68	2.50147076319
0.7	2.39562605665
0.72	2.28957736284
0.74	2.18368118622
0.76	2.0782909403
0.78	1.97375347347
0.8	1.87040571979
0.82	1.76857152973
0.84	1.66855873057
0.86	1.57065646041
0.88	1.47513281304
0.9	1.38223282357
0.92	1.29217681678
0.94	1.2051591325
0.96	1.1213472341
0.98	1.04088119862
1.0	0.963873579715
1.02	0.890409627723
1.04	0.82054784538
1.06	0.754320852182
1.08	0.691736526317
1.1	0.6327793896
1.12	0.577412198507
1.14	0.525577702966
1.16	0.477200534106
1.18	0.432189182512
1.2	0.390438029799
1.22	0.351829398142
1.24	0.316235584976
1.26	0.283520853016
1.28	0.253543349182
1.3	0.226156929575
1.32	0.201212871505
1.34	0.17856145733
1.36	0.158053418692
1.38	0.139541233327
1.4	0.122880270092
1.42	0.107929780969
1.44	0.0945537416931
1.46	0.082621545111
1.48	0.0720085535346
1.5	0.0625965181043
1.52	0.0542738745642
1.54	0.0469359258884
1.56	0.0404849228863
1.58	0.0348300543015
1.6	0.0298873580166
1.62	0.0255795648363
1.64	0.0218358859626
1.66	0.0185917547495
1.68	0.0157885326573
1.7	0.0133731885549
1.72	0.0112979596784
1.74	0.00952000166838
1.76	0.00800103420578
