# mass number (A) = 9
# number of protons (Z) = 4
# k (1/fm)	total two_body (fm^3)
0.0	5.83369395
0.1	5.73055068
0.2	5.43155328
0.3	4.96624794
0.4	4.37850176
0.5	3.71984760
0.6	3.04239917
0.7	2.39257979
0.8	1.80650367
0.9	1.30744166
1.0	0.90546193
1.1	0.59901738
1.2	0.37794107
1.3	0.22708050
1.4	0.12975930
1.5	0.07043910
1.6	0.03629113
1.7	0.01773245
1.8	0.00821213
1.9	0.00360295
2.0	0.00149700
2.1	0.00058889
2.2	0.00021928
2.3	0.00007729
2.4	0.00002578
2.5	0.00000814
#normalisation = 0.999995551354
